,AVERAGE,ESG LAGGARD,ESG LEADER,country,date,industry,percent_rating,rating,rating_history
IID000000002630755,"Labor Management,Raw Material Sourcing","Chemical Safety,Product Carbon Footprint",Corporate Governance,Italy,"Aug-15,Aug-16,Aug-17,Sep-18,Oct-19","Textiles, Apparel & Luxury Goods","3%,11%,27%,22%,11%,14%,14%","CCC,B,BB,BBB,A,AA,AAA","BB,BBB,BBB,BBB,BBB"
IID000000002655733,"Corporate Governance,Labor Management,Toxic Emissions & Waste",Opportunities in Clean Tech,Corruption & Instability,Ireland,"Mar-15,Mar-16,Apr-17,Apr-18,Nov-19",Electrical Equipment,"6%,21%,30%,12%,15%,9%,6%","CCC,B,BB,BBB,A,AA,AAA","BBB,BBB,BBB,BBB,BBB"
IID000000002669433,Labor Management,Corporate Governance,"Corruption & Instability,Privacy & Data Security,Carbon Emissions",United Kingdom,"Apr-16,Oct-16,May-17,Jun-18,Oct-19",Media & Entertainment,"8%,22%,22%,23%,14%,8%,4%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,BBB"
IID000000002670343,"Corporate Governance,Health & Safety,Labor Management,Opportunities in Clean Tech,Toxic Emissions & Waste",nan,nan,Germany,"Aug-15,Apr-16,Apr-17,May-18,Aug-19",Construction & Farm Machinery & Heavy Trucks,"13%,22%,9%,13%,28%,9%,6%","CCC,B,BB,BBB,A,AA,AAA","A,A,A,A,A"
IID000000002700235,Carbon Emissions,"Corporate Governance,Human Capital Development,Privacy & Data Security",Opportunities in Clean Tech,Luxembourg,"Mar-19,Oct-19",Software & Services,"1%,9%,18%,28%,25%,15%,4%","CCC,B,BB,BBB,A,AA,AAA","BB,BBB"
IID000000002717694,Opportunities in Clean Tech,Toxic Emissions & Waste,"Corporate Governance,Carbon Emissions,Health & Safety",Ireland,"Feb-17,Feb-17,May-17,Mar-18,Jun-19",Building Products,"6%,0%,0%,17%,33%,39%,6%","CCC,B,BB,BBB,A,AA,AAA","A,A,AA,AAA,AAA"
IID000000002742659,"Corporate Governance,Human Capital Development,Privacy & Data Security,Carbon Emissions",nan,nan,United States of America,"Sep-16,Mar-17,Apr-17,Apr-18,Sep-19",Professional Services,"4%,4%,13%,13%,17%,35%,13%","CCC,B,BB,BBB,A,AA,AAA","B,BB,BB,BBB,A"
IID000000002766031,"Corporate Governance,Health & Safety,Packaging Material & Waste",nan,"Opportunities in Nutrition & Health,Water Stress,Product Carbon Footprint",United Kingdom,"Jun-15,Jun-16,Jun-17,Aug-18,Nov-19",Beverages,"6%,25%,15%,10%,21%,17%,6%","CCC,B,BB,BBB,A,AA,AAA","AAA,AAA,AAA,AAA,AAA"
IID000000002773073,"Corporate Governance,Privacy & Data Security",Product Carbon Footprint,Labor Management,Netherlands,"Oct-17,Nov-18,Nov-19",Retail - Consumer Discretionary,"1%,19%,22%,20%,26%,7%,5%","CCC,B,BB,BBB,A,AA,AAA","B,BB,BB"
IID000000002817953,"Corporate Governance,Human Capital Development",Opportunities in Green Building,nan,Luxembourg,"Apr-18,Sep-19",Real Estate Management & Services,"1%,16%,13%,24%,20%,16%,10%","CCC,B,BB,BBB,A,AA,AAA","BB,BB"
IID000000002832990,Human Capital Development,"Corporate Governance,Product Safety & Quality,Carbon Emissions",Corruption & Instability,Germany,"Apr-18,Apr-19",Health Care Equipment & Supplies,"3%,11%,24%,19%,23%,18%,3%","CCC,B,BB,BBB,A,AA,AAA","BB,BB"
IID000000002863229,"Privacy & Data Security,Labor Management",Product Carbon Footprint,Corporate Governance,Germany,"Apr-18,Aug-18,Nov-19",Retail - Consumer Discretionary,"1%,19%,22%,20%,26%,7%,5%","CCC,B,BB,BBB,A,AA,AAA","BB,BB,A"
IID000000002953300,"Human Capital Development,Product Safety & Quality",Carbon Emissions,"Corporate Governance,Corruption & Instability",Switzerland,Apr-19,Health Care Equipment & Supplies,"3%,11%,24%,20%,22%,18%,3%","CCC,B,BB,BBB,A,AA,AAA",AA
IID000000005007984,"Financial Product Safety,Access to Finance,Financial System Instability,Privacy & Data Security,Financing Environmental Impact",Human Capital Development,Corporate Governance,United Kingdom,Jan-20,Diversified Financials,"0%,12%,14%,24%,29%,18%,2%","CCC,B,BB,BBB,A,AA,AAA",BBB
