encodedTitle,title,url
tianma-microelectronics-co-ltd,"Tianma Microelectronics Co., Ltd.",IID000000002183472
george-weston-limitee,GEORGE WESTON LIMITEE,IID000000002167668
l-air-liquide-societe-anonyme-pour-l-etude-et-l-exploitation-des-procedes-georges-claude-sa,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE SA,IID000000002124820
ia-societe-financiere-inc,iA Societe Financiere Inc.,IID000000002935272
societe-generale-sa,SOCIETE GENERALE SA,IID000000002151773
societe-aurifere-barrick,SOCIETE AURIFERE BARRICK,IID000000002928769
societe-financiere-igm-inc,SOCIETE FINANCIERE IGM INC.,IID000000002142973
l-air-liquide-societe-anonyme-pour-l-etude-et-l-exploitation-des-procedes-georges-claude-sa,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE SA,IID000000002124820
persimmon-public-limited-company,PERSIMMON PUBLIC LIMITED COMPANY,IID000000002179360
antofagasta-plc,ANTOFAGASTA PLC,IID000000002157540
orkla-asa,ORKLA ASA,IID000000002144380
ck-hutchison-holdings-limited,CK HUTCHISON HOLDINGS LIMITED,IID000000002726775
el-puerto-de-liverpool-sociedad-anonima-bursatil-de-capital-variable,"El Puerto de Liverpool, Sociedad Anonima Bursatil de Capital Variable",IID000000002165030
alfa-laval-ab,Alfa Laval AB,IID000000002156720
alfa-sab-de-cv,"ALFA, S.A.B. de C.V.",IID000000002156724
norwegian-cruise-line-holdings-ltd,NORWEGIAN CRUISE LINE HOLDINGS LTD.,IID000000002659468
husqvarna-aktiebolag,Husqvarna Aktiebolag,IID000000002169765
omv-aktiengesellschaft,OMV Aktiengesellschaft,IID000000002127907
investor-aktiebolag,Investor Aktiebolag,IID000000002151173
omega-healthcare-investors-inc,"OMEGA HEALTHCARE INVESTORS, INC.",IID000000002154361
chocoladefabriken-lindt-spruengli-ag,Chocoladefabriken Lindt & Spruengli AG,IID000000002161947
hexagon-aktiebolag,Hexagon Aktiebolag,IID000000002124154
s-oil-corporation,S-Oil Corporation,IID000000002181894
pandora-a/s,PANDORA A/S,IID000000002416719
s-p-global-inc,S&P GLOBAL INC.,IID000000002123703
sprint-corporation,SPRINT CORPORATION,IID000000002671162
kinross-gold-corporation,KINROSS GOLD CORPORATION,IID000000002143017
kellogg-company,KELLOGG COMPANY,IID000000002172569
novozymes-a/s,NOVOZYMES A/S,IID000000002152916
carlsberg-a/s,CARLSBERG A/S,IID000000002161102
energisa-s/a,Energisa S/A,IID000000002154689
coloplast-a/s,COLOPLAST A/S,IID000000002142057
air-canada,AIR CANADA,IID000000002156469
air-china-limited,Air China Limited,IID000000002148908
sealed-air-corporation,SEALED AIR CORPORATION,IID000000002182988
air-water-inc,AIR WATER INC.,IID000000002141271
airbus-se,Airbus SE,IID000000002125950
air-products-and-chemicals-inc,"AIR PRODUCTS AND CHEMICALS, INC.",IID000000002156475
korean-air-lines-co-ltd,"KOREAN AIR LINES CO.,LTD",IID000000002173014
delta-air-lines-inc,"DELTA AIR LINES, INC.",IID000000002163856
airasia-group-berhad,AIRASIA GROUP BERHAD,IID000000002839018
westinghouse-air-brake-technologies-corporation,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,IID000000002145636
eurofins-scientific-se,EUROFINS SCIENTIFIC SE,IID000000002721268
intercontinental-exchange-inc,"INTERCONTINENTAL EXCHANGE, INC.",IID000000002677793
intercontinental-hotels-group-plc,INTERCONTINENTAL HOTELS GROUP PLC,IID000000002135208
epiroc-aktiebolag,Epiroc Aktiebolag,IID000000002844479
total-sa,TOTAL SA,IID000000002145155
total-access-communication-public-company-limited,Total Access Communication Public Company Limited,IID000000002187119
china-grand-automotive-services-group-co-ltd,"China Grand Automotive Services Group Co., Ltd.",IID000000002163600
grandjoy-holdings-group-co-ltd,"GRANDJOY HOLDINGS GROUP CO., LTD.",IID000000002148543
accor-sa,ACCOR S.A.,IID000000002148785
china-national-accord-medicines-corporation-ltd,China National Accord Medicines Corporation Ltd.,IID000000002148546
deutsche-bank-aktiengesellschaft,DEUTSCHE BANK AKTIENGESELLSCHAFT,IID000000002140460
deutsche-post-ag,Deutsche Post AG,IID000000002163947
